FrageNr;Frage;Frage_Bild1;Frage_Bild1_scale;Frage_Bild2;Frage_Bild2_scale;AntwortA;AntwortA_Bild;AntwortA_Bild_scale;AntwortB;AntwortB_Bild;AntwortB_Bild_scale;AntwortC;AntwortC_Bild;AntwortC_Bild_scale;AntwortD;AntwortD_Bild;AntwortD_Bild_scale
TA101;Welche Einheit wird für die elektrische Feldstärke verwendet?;;;;;Volt pro Meter (V/m);;;Watt pro Quadratmeter W/m²;;;Ampere pro Meter (A/m);;;Henry pro Meter (H/m);;
TA102;Welche Einheit wird für die magnetische Feldstärke verwendet?;;;;;Ampere pro Meter (A/m);;;Tesla (T);;;Amperemeter (Am);;;Henry pro Meter (H/m);;
TA103;In welcher Einheit wird die Impedanz angegeben?;;;;;Ohm;;;Farad;;;Siemens;;;Henry;;
TA104;Die Einheit Siemens wird verwendet für die Angabe;;;;;des Leitwertes eines Widerstands.;;;des Ohmschen Widerstands.;;;der Impedanz einer Leitung.;;;der magnetischen Feldstärke.;;
TA105;Wenn [s] für Sekunde steht, gilt für die Einheit der Frequenz;;;;;Hz = 1/s;;;Hz = s;;;Hz = s²;;;Hz = 1/s²;;
TA106;Welche der nachfolgenden Antworten enthält nur Basiseinheiten nach dem internationalen Einheitensystem?;;;;;Meter, Kelvin, Sekunde, Ampere;;;Radiant, Meter, Volt, Watt;;;Farad, Henry, Ohm, Sekunde;;;Grad, Hertz, Ohm, Tesla;;
TA107;Einem Spannungsverhältnis von 15 entsprechen;;;;;23,5 dB.;;;52 dB.;;;47 dB.;;;11,7 dB.;;
TA108;Einer Leistungsverstärkung von 40 entsprechen;;;;;16 dB.;;;60 dB.;;;32 dB.;;;24 dB.;;
TA109;Wie groß ist der Unterschied zwischen S4 und S7 in dB?;;;;;18 dB;;;9 dB;;;28 dB;;;3 dB;;
TA110;Der Pegelwert 120 db/μ V/m entspricht einer elektrischen Feldstärke von;;;;;1 V/m.;;;10 V/m.;;;1000 V/m.;;;1000 kV/m.;;
TA111;100 mW entspricht;;;;;10⁻¹ W.;;;0,001 W.;;;0,01 W.;;;10⁻² W.;;
